Year,Crop,Geography,Quantity,Value
1978,"Sorghum (Jowar)",Rural,1.74,1.93
1987,"Sorghum (Jowar)",Rural,1.02,1.89
1988,"Sorghum (Jowar)",Rural,1.2,2.2
1991,"Sorghum (Jowar)",Rural,0.8,2.7
1992,"Sorghum (Jowar)",Rural,0.8,3.2
1993,"Sorghum (Jowar)",Rural,0.8,2.5
1994,"Sorghum (Jowar)",Rural,0.84,2.5
1995,"Sorghum (Jowar)",Rural,0.7,2.51
1996,"Sorghum (Jowar)",Rural,0.7,3.5
1997,"Sorghum (Jowar)",Rural,0.67,3.4
2000,"Sorghum (Jowar)",Rural,0.5,3.56
2001,"Sorghum (Jowar)",Rural,0.39,2.27
2002,"Sorghum (Jowar)",Rural,0.44,2.62
2002,"Sorghum (Jowar)",Rural,0.43,2.78
2003,"Sorghum (Jowar)",Rural,0.44,2.74
2004,"Sorghum (Jowar)",Rural,0.47,3.11
2006,"Sorghum (Jowar)",Rural,0.33,2.36
2007,"Sorghum (Jowar)",Rural,0.42,0.33
2008,"Sorghum (Jowar)",Rural,0.37,3.75
2010,"Sorghum (Jowar)",Rural,0.29,3.42
2012,"Sorghum (Jowar)",Rural,0.2,4.46
1978,"Pearl Millet (Bajra)",Rural,0.75,0.89
1987,"Pearl Millet (Bajra)",Rural,0.53,1.07
1988,"Pearl Millet (Bajra)",Rural,0.5,1.1
1991,"Pearl Millet (Bajra)",Rural,0.5,1.8
1992,"Pearl Millet (Bajra)",Rural,0.5,1.8
1993,"Pearl Millet (Bajra)",Rural,0.5,1.5
1994,"Pearl Millet (Bajra)",Rural,0.48,1.7
1995,"Pearl Millet (Bajra)",Rural,0.4,1.72
1996,"Pearl Millet (Bajra)",Rural,0.5,2.1
1997,"Pearl Millet (Bajra)",Rural,3.35,2.2
2000,"Pearl Millet (Bajra)",Rural,0.38,2.56
2001,"Pearl Millet (Bajra)",Rural,0.33,1.98
2002,"Pearl Millet (Bajra)",Rural,0.36,1.8
2002,"Pearl Millet (Bajra)",Rural,0.35,2.2
2003,"Pearl Millet (Bajra)",Rural,0.37,2.17
2004,"Pearl Millet (Bajra)",Rural,0.45,2.57
2006,"Pearl Millet (Bajra)",Rural,0.31,2.17
2007,"Pearl Millet (Bajra)",Rural,0.35,2.71
