Crop,State,Year,OpCost,FixCost,TotCost,GrossRet,NetRet,BC
"Pearl Millet (Bajra)",Uttar Pradesh,2005,6490.91,4513.51,11004.42,10159.56,-844.86,0.92
"Pearl Millet (Bajra)",Uttar Pradesh,2006,6035.00,5336.90,11371.90,10014.64,-1357.26,0.88
"Pearl Millet (Bajra)",Uttar Pradesh,2007,8522.87,5773.39,14296.26,16902.31,2606.05,1.18
"Pearl Millet (Bajra)",Uttar Pradesh,2008,9224.48,6421.65,15646.13,17178.55,1532.42,1.10
"Pearl Millet (Bajra)",Uttar Pradesh,2009,10990.87,6830.20,17821.07,14580.46,-3240.61,0.82
"Pearl Millet (Bajra)",Uttar Pradesh,2010,11943.01,8157.30,20100.31,19513.69,-586.62,0.97
"Pearl Millet (Bajra)",Uttar Pradesh,2011,11773.30,8121.42,19894.72,19663.90,-230.82,0.99
"Pearl Millet (Bajra)",Uttar Pradesh,2012,13657.94,7608.90,21266.84,17700.88,-3565.96,0.83
"Pearl Millet (Bajra)",Uttar Pradesh,2013,15450.51,10057.30,25507.81,27046.72,1538.91,1.06
"Pearl Millet (Bajra)",Uttar Pradesh,2014,17263.40,11702.76,28966.16,28379.23,-586.93,0.98
"Pearl Millet (Bajra)",Uttar Pradesh,2015,20900.29,12792.73,33693.02,34019.96,326.94,1.01
"Pearl Millet (Bajra)",Uttar Pradesh,2016,20982.30,14493.43,35475.73,36573.41,1097.68,1.03
"Pearl Millet (Bajra)",Uttar Pradesh,2017,21498.63,18728.87,40227.50,45981.73,5754.23,1.14
"Pearl Millet (Bajra)",Uttar Pradesh,2018,22045.62,12418.18,34463.80,29149.13,-5314.67,0.85
"Pearl Millet (Bajra)",Uttar Pradesh,2019,27159.10,16968.94,44128.04,45458.03,1329.99,1.03
"Pearl Millet (Bajra)",Gujarat,2005,9735.20,2570.32,12305.52,13212.16,906.64,1.07
"Pearl Millet (Bajra)",Gujarat,2006,10721.20,3289.63,14010.83,15500.06,1489.23,1.11
"Pearl Millet (Bajra)",Gujarat,2007,10805.02,3343.81,14148.83,17135.81,2986.98,1.21
"Pearl Millet (Bajra)",Gujarat,2008,12000.80,3592.57,15593.37,19581.76,3988.39,1.26
"Pearl Millet (Bajra)",Gujarat,2009,14952.92,5883.26,20836.18,28231.78,7395.60,1.35
"Pearl Millet (Bajra)",Gujarat,2010,14726.51,6034.51,20761.02,29830.05,9069.03,1.44
"Pearl Millet (Bajra)",Gujarat,2011,15133.14,5995.18,21128.32,28633.43,7505.11,1.36
