Crop,State,Year,OpCost,FixCost,TotCost,GrossRet,NetRet,BC
"Sorghum (Jowar)",Rajasthan,2005,4708.23,2579.58,7287.81,8109.12,821.31,1.11
"Sorghum (Jowar)",Rajasthan,2006,5770.41,2778.72,8549.13,8672.45,123.32,1.01
"Sorghum (Jowar)",Rajasthan,2007,4657.42,2711.54,7368.96,7498.97,130.01,1.02
"Sorghum (Jowar)",Rajasthan,2008,5092.15,2187.25,7279.40,6615.97,-663.43,0.91
"Sorghum (Jowar)",Rajasthan,2009,6465.40,2818.05,9283.45,10117.05,833.60,1.09
"Sorghum (Jowar)",Rajasthan,2010,6752.12,2696.26,9448.38,8687.19,-761.19,0.92
"Sorghum (Jowar)",Rajasthan,2011,9778.13,3267.32,13045.45,12422.12,-623.33,0.95
"Sorghum (Jowar)",Rajasthan,2015,17545.17,7807.51,25352.68,33618.87,8266.19,1.33
"Sorghum (Jowar)",Rajasthan,2016,18784.16,6759.58,25543.74,21891.26,-3652.48,0.86
"Sorghum (Jowar)",Rajasthan,2017,23087.75,9274.78,32362.53,29733.56,-2628.97,0.92
"Sorghum (Jowar)",Rajasthan,2018,26260.24,6446.82,32707.06,28614.42,-4092.64,0.87
"Sorghum (Jowar)",Rajasthan,2019,30147.89,7131.74,37279.63,31627.85,-5651.78,0.85
"Sorghum (Jowar)",Karnataka,2005,4167.12,1911.37,6078.49,6025.67,-52.82,0.99
"Sorghum (Jowar)",Karnataka,2006,5011.35,2124.21,7135.56,6078.30,-1057.26,0.85
"Sorghum (Jowar)",Karnataka,2007,5518.79,2112.89,7631.68,6569.72,-1061.96,0.86
"Sorghum (Jowar)",Karnataka,2008,6381.57,2986.85,9368.42,11668.02,2299.60,1.25
"Sorghum (Jowar)",Karnataka,2009,7734.80,2927.35,10662.15,9719.59,-942.56,0.91
"Sorghum (Jowar)",Karnataka,2010,9132.19,3558.71,12690.90,10765.94,-1924.96,0.85
"Sorghum (Jowar)",Karnataka,2011,9352.67,4528.31,13880.98,15475.48,1594.50,1.11
"Sorghum (Jowar)",Karnataka,2012,13485.56,7560.42,21045.98,26189.14,5143.16,1.24
"Sorghum (Jowar)",Karnataka,2013,13338.04,5090.96,18429.00,15512.84,-2916.16,0.84
"Sorghum (Jowar)",Karnataka,2014,15572.00,7374.62,22946.62,26178.99,3232.37,1.14
"Sorghum (Jowar)",Karnataka,2015,17330.51,7481.37,24811.88,25558.69,746.81,1.03
"Sorghum (Jowar)",Karnataka,2016,15276.85,6709.14,21985.99,19898.86,-2087.13,0.91
"Sorghum (Jowar)",Karnataka,2017,14041.11,7079.77,21120.88,21314.07,193.19,1.01
"Sorghum (Jowar)",Karnataka,2018,22035.27,8676.33,30711.60,30636.87,-74.73,1.00
"Sorghum (Jowar)",Karnataka,2019,22591.02,10648.87,33239.89,40274.38,7034.49,1.21
"Sorghum (Jowar)",Andhra Pradesh,2005,8042.44,3594.22,11636.66,9826.89,-1809.77,0.84
