Crop,State,Year,OpCost,FixCost,TotCost,GrossRet,NetRet,BC
"Finger Millet (Ragi)",Karnataka,2005,9433.04,2675.13,12108.17,8692.76,-3415.41,0.72
"Finger Millet (Ragi)",Karnataka,2006,12572.10,2887.31,15459.41,10165.35,-5294.06,0.66
"Finger Millet (Ragi)",Karnataka,2007,12758.88,4691.40,17450.28,16894.00,-556.28,0.97
"Finger Millet (Ragi)",Karnataka,2008,14127.30,3745.06,17872.36,12112.07,-5760.29,0.68
"Finger Millet (Ragi)",Karnataka,2009,15091.61,7503.53,22595.14,20306.10,-2289.04,0.90
"Finger Millet (Ragi)",Karnataka,2010,17267.98,6672.17,23940.15,20203.61,-3736.54,0.84
"Finger Millet (Ragi)",Karnataka,2011,22185.28,6956.51,29141.79,19015.51,-10126.28,0.65
"Finger Millet (Ragi)",Karnataka,2012,26648.00,6508.65,33156.65,19967.78,-13188.87,0.60
"Finger Millet (Ragi)",Karnataka,2013,26915.59,9022.61,35938.20,29324.08,-6614.12,0.82
"Finger Millet (Ragi)",Karnataka,2014,30736.17,9325.26,40061.43,34487.07,-5574.36,0.86
"Finger Millet (Ragi)",Karnataka,2015,43143.34,11174.15,54317.49,35278.04,-19039.45,0.65
"Finger Millet (Ragi)",Karnataka,2016,46390.08,13451.84,59841.92,43899.11,-15942.81,0.73
"Finger Millet (Ragi)",Karnataka,2017,33526.20,13192.71,46718.91,52023.19,5304.28,1.11
"Finger Millet (Ragi)",Karnataka,2018,48060.48,12138.25,60198.73,47470.12,-12728.61,0.79
"Finger Millet (Ragi)",Karnataka,2019,42922.50,14331.97,57254.47,55695.61,-1558.86,0.97
"Finger Millet (Ragi)",Tamil Nadu,2005,8846.75,4494.75,13341.50,11639.81,-1701.69,0.87
"Finger Millet (Ragi)",Tamil Nadu,2006,11163.85,5117.33,16281.18,11666.38,-4614.80,0.72
"Finger Millet (Ragi)",Tamil Nadu,2007,10617.27,6502.23,17119.50,16190.99,-928.51,0.95
"Finger Millet (Ragi)",Tamil Nadu,2008,15030.27,7000.61,22030.88,31301.96,9271.08,1.42
"Finger Millet (Ragi)",Tamil Nadu,2009,14847.16,4225.48,19072.64,24042.61,4969.97,1.26
"Finger Millet (Ragi)",Tamil Nadu,2010,20091.64,7931.65,28023.29,38176.51,10153.22,1.36
"Finger Millet (Ragi)",Tamil Nadu,2011,17651.71,5156.30,22808.01,26116.40,3308.39,1.15
"Finger Millet (Ragi)",Tamil Nadu,2012,17714.40,5511.18,23225.58,17447.78,-5777.80,0.75
"Finger Millet (Ragi)",Tamil Nadu,2013,32283.61,11840.21,44123.82,86206.67,42082.85,1.95
"Finger Millet (Ragi)",Tamil Nadu,2014,29456.29,8718.64,38174.93,43440.75,5265.82,1.14
"Finger Millet (Ragi)",Tamil Nadu,2018,44282.59,14031.50,58314.09,35532.84,-22781.25,0.61
"Finger Millet (Ragi)",Tamil Nadu,2019,33886.20,21331.25,55217.45,50646.84,-4570.61,0.92
"Finger Millet (Ragi)",Uttarakhand,2012,38069.70,6939.07,45008.77,26611.04,-18397.73,0.59
"Finger Millet (Ragi)",Uttarakhand,2013,34036.00,5390.06,39426.06,29546.86,-9879.20,0.75
"Finger Millet (Ragi)",Uttarakhand,2014,16503.10,5297.66,21800.76,37603.07,15802.31,1.72
"Finger Millet (Ragi)",Uttarakhand,2015,14844.65,4982.35,19827.00,26267.06,6440.06,1.32
"Finger Millet (Ragi)",Uttarakhand,2016,21619.03,5519.35,27138.38,31934.14,4795.76,1.18
"Finger Millet (Ragi)",Uttarakhand,2017,25370.93,6090.44,31461.37,32821.97,1360.60,1.04
"Finger Millet (Ragi)",Uttarakhand,2018,37657.80,9992.29,47650.09,34698.91,-12951.18,0.73
"Finger Millet (Ragi)",Uttarakhand,2019,34796.84,10161.72,44958.56,34227.36,-10731.20,0.76

